benchmark_set	population	reference_method	comparator_method	metric	higher_is_better	n_complexes	n_paired_contributing	estimate_reference_minus_comparator	ci95_reference_minus_comparator_low	ci95_reference_minus_comparator_high	estimate_favorable_to_reference	ci95_favorable_low	ci95_favorable_high	bootstrap_draws_requested	bootstrap_draws_defined	bootstrap_seed
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top1_success_rate	True	92	92	0.17391304347826086	0.05434782608695652	0.29347826086956524	0.17391304347826086	0.05434782608695652	0.29347826086956524	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top3_success_rate	True	92	92	0.11956521739130435	0.03260869565217391	0.21739130434782608	0.11956521739130435	0.03260869565217391	0.21739130434782608	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top5_success_rate	True	92	92	0.05434782608695652	-0.021739130434782608	0.13043478260869565	0.05434782608695652	-0.021739130434782608	0.13043478260869565	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	mrr_first_lt2	True	92	92	0.12445472814661619	0.039974063130697284	0.21014402861773254	0.12445472814661619	0.039974063130697284	0.21014402861773254	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	ndcg_at_10	True	92	92	0.09910880920788928	0.04642038635977055	0.15350242244722925	0.09910880920788928	0.04642038635977055	0.15350242244722925	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	mean_regret_A_scored	False	92	91	-1.2816355492515978	-1.9670122492011928	-0.6695044120849171	1.2816355492515978	0.6695044120849172	1.967012249201193	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	complex_failure_rate	False	92	92	-0.010869565217391304	-0.03260869565217391	0.0	0.010869565217391304	-0.0	0.03260869565217391	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	pose_score_failure_rate	False	92	92	-0.010869565217391304	-0.03260869565217391	0.0	0.010869565217391304	-0.0	0.03260869565217391	10000	10000	20260907
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top1_success_rate	True	72	72	0.18055555555555555	0.06944444444444445	0.2916666666666667	0.18055555555555555	0.06944444444444445	0.2916666666666667	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top3_success_rate	True	72	72	0.06944444444444445	-0.013888888888888888	0.1527777777777778	0.06944444444444445	-0.013888888888888888	0.1527777777777778	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top5_success_rate	True	72	72	0.013888888888888888	-0.06944444444444445	0.09722222222222222	0.013888888888888888	-0.06944444444444445	0.09722222222222222	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	mrr_first_lt2	True	72	72	0.11937784218625722	0.04289784204576893	0.19873945554301972	0.11937784218625722	0.04289784204576893	0.19873945554301972	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	ndcg_at_10	True	72	72	0.09296854866057282	0.04141624693431541	0.1463913697752582	0.09296854866057282	0.04141624693431541	0.1463913697752582	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	72	71	-1.0184137441872823	-1.7897118637611584	-0.324746353821858	1.0184137441872823	0.32474635382185796	1.7897118637611582	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	complex_failure_rate	False	72	72	-0.013888888888888888	-0.041666666666666664	0.0	0.013888888888888888	-0.0	0.041666666666666664	10000	10000	20261006
Yan72	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	72	72	-0.025	-0.05729166666666666	-0.00625	0.025	0.00625	0.05729166666666666	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top1_success_rate	True	72	72	0.1111111111111111	0.0	0.2222222222222222	0.1111111111111111	0.0	0.2222222222222222	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top3_success_rate	True	72	72	0.09722222222222222	0.0	0.19444444444444445	0.09722222222222222	0.0	0.19444444444444445	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top5_success_rate	True	72	72	0.041666666666666664	-0.041666666666666664	0.1388888888888889	0.041666666666666664	-0.041666666666666664	0.1388888888888889	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	72	72	0.09791529919185148	0.009829191484879797	0.18771920818719226	0.09791529919185148	0.009829191484879797	0.18771920818719226	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	72	72	0.09988950867608357	0.03581235743275113	0.16971975530501776	0.09988950867608357	0.03581235743275113	0.16971975530501776	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	72	67	-0.22962897613338593	-0.8357841702986997	0.35303452345044706	0.22962897613338593	-0.3530345234504471	0.8357841702986997	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	72	72	-0.06944444444444445	-0.1388888888888889	-0.013888888888888888	0.06944444444444445	0.013888888888888888	0.1388888888888889	10000	10000	20261006
Yan72	full	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	72	72	-0.06944444444444445	-0.1388888888888889	-0.013888888888888888	0.06944444444444445	0.013888888888888888	0.1388888888888889	10000	10000	20261006
Yan72	full	SurfNA-scorer0	rDock-26.05-alpha	top1_success_rate	True	72	72	0.1111111111111111	0.0	0.2222222222222222	0.1111111111111111	0.0	0.2222222222222222	10000	10000	20261006
Yan72	full	SurfNA-scorer0	rDock-26.05-alpha	top3_success_rate	True	72	72	0.041666666666666664	-0.041666666666666664	0.125	0.041666666666666664	-0.041666666666666664	0.125	10000	10000	20261006
Yan72	full	SurfNA-scorer0	rDock-26.05-alpha	top5_success_rate	True	72	72	0.013888888888888888	-0.05555555555555555	0.08333333333333333	0.013888888888888888	-0.05555555555555555	0.08333333333333333	10000	10000	20261006
Yan72	full	SurfNA-scorer0	rDock-26.05-alpha	mrr_first_lt2	True	72	72	0.0656039152518833	-0.008678546189483358	0.138296104989935	0.0656039152518833	-0.008678546189483358	0.138296104989935	10000	10000	20261006
Yan72	full	SurfNA-scorer0	rDock-26.05-alpha	ndcg_at_10	True	72	72	0.06324568239845085	0.013665899758654319	0.11330388515880024	0.06324568239845085	0.013665899758654319	0.11330388515880024	10000	10000	20261006
Yan72	full	SurfNA-scorer0	rDock-26.05-alpha	mean_regret_A_scored	False	72	72	-0.9328376675356616	-1.7585045362949416	-0.1650236856772253	0.9328376675356616	0.1650236856772252	1.758504536294941	10000	10000	20261006
Yan72	full	SurfNA-scorer0	rDock-26.05-alpha	complex_failure_rate	False	72	72	0.0	0.0	0.0	-0.0	-0.0	-0.0	10000	10000	20261006
Yan72	full	SurfNA-scorer0	rDock-26.05-alpha	pose_score_failure_rate	False	72	72	0.0	0.0	0.0	-0.0	-0.0	-0.0	10000	10000	20261006
Yan72	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	top1_success_rate	True	54	54	0.24074074074074073	0.09259259259259259	0.3888888888888889	0.24074074074074073	0.09259259259259259	0.3888888888888889	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	top3_success_rate	True	54	54	0.09259259259259259	-0.018518518518518517	0.2037037037037037	0.09259259259259259	-0.018518518518518517	0.2037037037037037	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	top5_success_rate	True	54	54	0.018518518518518517	-0.09259259259259259	0.12962962962962962	0.018518518518518517	-0.09259259259259259	0.12962962962962962	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	mrr_first_lt2	True	54	54	0.15917045624834295	0.05796000910652329	0.25961274509803917	0.15917045624834295	0.05796000910652329	0.25961274509803917	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	ndcg_at_10	True	54	54	0.1215533272520311	0.057813674771150673	0.1877655723920254	0.1215533272520311	0.057813674771150673	0.1877655723920254	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	54	53	-1.344205682052569	-2.2973215747180724	-0.525445912594671	1.344205682052569	0.5254459125946707	2.297321574718072	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	complex_failure_rate	False	54	54	-0.018518518518518517	-0.05555555555555555	0.0	0.018518518518518517	-0.0	0.05555555555555555	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	54	54	-0.024537037037037038	-0.06342592592592593	-0.0032407407407407406	0.024537037037037038	0.0032407407407407406	0.06342592592592593	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top1_success_rate	True	54	54	0.14814814814814814	0.018518518518518517	0.2962962962962963	0.14814814814814814	0.018518518518518517	0.2962962962962963	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top3_success_rate	True	54	54	0.12962962962962962	0.0	0.25925925925925924	0.12962962962962962	0.0	0.25925925925925924	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	top5_success_rate	True	54	54	0.05555555555555555	-0.05555555555555555	0.16666666666666666	0.05555555555555555	-0.05555555555555555	0.16666666666666666	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	54	54	0.13055373225580197	0.01584368263766413	0.2477429204706573	0.13055373225580197	0.01584368263766413	0.2477429204706573	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	54	54	0.12404021015097355	0.047105484046234956	0.21056441266202647	0.12404021015097355	0.047105484046234956	0.21056441266202647	10000	10000	20261007
