benchmark_set	population	method	metric	higher_is_better	n_complexes	n_contributing	estimate	ci95_low	ci95_high	bootstrap_draws_requested	bootstrap_draws_defined	bootstrap_seed
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	54	54	0.07407407407407407	0.018518518518518517	0.14814814814814814	10000	10000	20261007
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	54	54	0.07407407407407407	0.018518518518518517	0.14814814814814814	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	top1_success_rate	True	54	54	0.7777777777777778	0.6666666666666666	0.8888888888888888	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	top3_success_rate	True	54	54	0.8518518518518519	0.7592592592592593	0.9444444444444444	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	top5_success_rate	True	54	54	0.8518518518518519	0.7592592592592593	0.9444444444444444	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	mrr_first_lt2	True	54	54	0.8247562708210856	0.7297410530570253	0.9113162294238683	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	ndcg_at_10	True	54	54	0.8164018471036941	0.7641678065867046	0.865182084072647	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	mean_regret_A_scored	False	54	54	0.6033951404429133	0.3254485691264663	0.9350989536241613	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	complex_failure_rate	False	54	54	0.0	0.0	0.0	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	pose_score_failure_rate	False	54	54	0.0	0.0	0.0	10000	10000	20261007
Yan72	rankable_lt2	rDock-26.05-alpha	top1_success_rate	True	54	54	0.6296296296296297	0.5	0.7592592592592593	10000	10000	20261007
Yan72	rankable_lt2	rDock-26.05-alpha	top3_success_rate	True	54	54	0.7962962962962963	0.6851851851851852	0.9074074074074074	10000	10000	20261007
Yan72	rankable_lt2	rDock-26.05-alpha	top5_success_rate	True	54	54	0.8333333333333334	0.7222222222222222	0.9259259259259259	10000	10000	20261007
Yan72	rankable_lt2	rDock-26.05-alpha	mrr_first_lt2	True	54	54	0.7372843838185745	0.63875602265996	0.8325138110799875	10000	10000	20261007
Yan72	rankable_lt2	rDock-26.05-alpha	ndcg_at_10	True	54	54	0.7394910963267074	0.6699869036221071	0.8055830562109398	10000	10000	20261007
Yan72	rankable_lt2	rDock-26.05-alpha	mean_regret_A_scored	False	54	54	1.9702769226031949	1.1214958792162864	2.926318025074031	10000	10000	20261007
Yan72	rankable_lt2	rDock-26.05-alpha	complex_failure_rate	False	54	54	0.0	0.0	0.0	10000	10000	20261007
Yan72	rankable_lt2	rDock-26.05-alpha	pose_score_failure_rate	False	54	54	0.0	0.0	0.0	10000	10000	20261007
Ruiz52	full	AutoDock-Vina-1.2.7	top1_success_rate	True	52	52	0.2692307692307692	0.15384615384615385	0.40384615384615385	10000	10000	20261106
Ruiz52	full	AutoDock-Vina-1.2.7	top3_success_rate	True	52	52	0.40384615384615385	0.2692307692307692	0.5384615384615384	10000	10000	20261106
Ruiz52	full	AutoDock-Vina-1.2.7	top5_success_rate	True	52	52	0.46153846153846156	0.3269230769230769	0.5961538461538461	10000	10000	20261106
Ruiz52	full	AutoDock-Vina-1.2.7	mrr_first_lt2	True	52	52	0.35528762903762906	0.2473564352314352	0.47192683358308357	10000	10000	20261106
Ruiz52	full	AutoDock-Vina-1.2.7	ndcg_at_10	True	52	52	0.561401304020518	0.48163290164780614	0.6409071306456983	10000	10000	20261106
Ruiz52	full	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	52	51	2.1489027128113887	1.5255867170461777	2.8007335443659045	10000	10000	20261106
Ruiz52	full	AutoDock-Vina-1.2.7	complex_failure_rate	False	52	52	0.019230769230769232	0.0	0.057692307692307696	10000	10000	20261106
Ruiz52	full	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	52	52	0.021153846153846155	0.0	0.06105769230769231	10000	10000	20261106
Ruiz52	full	PLANTS-CHEMPLP-1.2	top1_success_rate	True	52	52	0.3269230769230769	0.21153846153846154	0.46153846153846156	10000	10000	20261106
Ruiz52	full	PLANTS-CHEMPLP-1.2	top3_success_rate	True	52	52	0.4807692307692308	0.34615384615384615	0.6153846153846154	10000	10000	20261106
