id	path	availability	sha256	bytes	seed	epoch	config	public_download_url
data10_s2_all	reproducibility/checkpoints/figure3/lb200_data10_s2_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	63b2dbbe45e1c51163a8419737579d2f277f3d61e8c4459e6d17f7d9b0aa33f8	76370706	2	200	configs/paper/figure3/lb200_data10_s2_transfer_all/parameters.yml	
data10_s2_nonsurface	reproducibility/checkpoints/figure3/lb200_data10_s2_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	782109d487aaf78545b3bbe45c58bf1cc018a887b71389e6d0a1f48d1ff43600	76370706	2	200	configs/paper/figure3/lb200_data10_s2_transfer_nonsurface/parameters.yml	
data25_s1_all	reproducibility/checkpoints/figure3/lb200_data25_s1_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	a53e063a5de98581bd245a67690f8faf5d10b4f8ee449d526bed62523b8b5b65	76370706	1	200	configs/paper/figure3/lb200_data25_s1_transfer_all/parameters.yml	
data25_s1_nonsurface	reproducibility/checkpoints/figure3/lb200_data25_s1_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	142b0609185d06dbd2a81dca2d77f1ef4b9e287b7731d7730b0aa08bb962411c	76370706	1	200	configs/paper/figure3/lb200_data25_s1_transfer_nonsurface/parameters.yml	
data50_s0_all	reproducibility/checkpoints/figure3/lb200_data50_s0_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	74d81023185a301f851f3b654903a282b3440638d9b29d97eac47cc533e12447	76370706	0	200	configs/paper/figure3/lb200_data50_s0_transfer_all/parameters.yml	
data50_s0_nonsurface	reproducibility/checkpoints/figure3/lb200_data50_s0_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	cf7bfafbd7e0b220322e0e2db0bce9fc7a979ee2f97d2ba9fa7f8ea1a0206c2c	76370706	0	200	configs/paper/figure3/lb200_data50_s0_transfer_nonsurface/parameters.yml	
data50_s2_all	reproducibility/checkpoints/figure3/lb200_data50_s2_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	a2a3983ff6a10566dbfc10b3df0ab4732f98ab947b18acbde619e8a05e78487a	76370706	2	200	configs/paper/figure3/lb200_data50_s2_transfer_all/parameters.yml	
data50_s2_nonsurface	reproducibility/checkpoints/figure3/lb200_data50_s2_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	9f406a9f5b4d227b7888825bef5817232b2de5b43b2c39253229e2c3db8e1437	76370706	2	200	configs/paper/figure3/lb200_data50_s2_transfer_nonsurface/parameters.yml	
reproducibility/checkpoints/w0_original/last_rank.pt	reproducibility/checkpoints/w0_original/last_rank.pt	local_research_archive_not_in_lightweight_release	ab5540ecf1676c66751eaf254f765657eed60b5e03feceebe69003d1e5e2859d	804521				
reproducibility/checkpoints/w0_original/selected_rank.pt	reproducibility/checkpoints/w0_original/selected_rank.pt	local_research_archive_not_in_lightweight_release	0858be9cba0d24563c2b5cec9c5ff8dfb6c5ebb69af73c7f533e297dfbf9bad0	804521				
reproducibility/checkpoints/w0_original/initial_rank.pt	reproducibility/checkpoints/w0_original/initial_rank.pt	local_research_archive_not_in_lightweight_release	01829192aa2f01c19809b7f0f79a4bd44d86e89ddcb0fd2568f178c5c2c530ad	804521				
