method_id,method,benchmark_set,run_id,denominator,valid_complexes,top1_count,top1_pct,top3_count,top3_pct,top5_count,top5_pct,top10_count,top10_pct,top40_count,top40_pct
surfna,SurfNA,Ruiz,pool0,52,52,22,42.30769231,27,51.92307692,27,51.92307692,29,55.76923077,32,61.53846154
surfna,SurfNA,All128,pool0,128,128,67,52.34375,79,61.71875,79,61.71875,86,67.1875,92,71.875
surfna,SurfNA,Yan,pool1,72,72,39,54.16666667,43,59.72222222,46,63.88888889,49,68.05555556,52,72.22222222
surfna,SurfNA,Philips,pool1,39,39,18,46.15384615,21,53.84615385,25,64.1025641,28,71.79487179,29,74.35897436
surfna,SurfNA,Chen,pool1,52,52,25,48.07692308,34,65.38461538,37,71.15384615,38,73.07692308,40,76.92307692
surfna,SurfNA,Ruiz,pool1,52,52,22,42.30769231,26,50,30,57.69230769,34,65.38461538,35,67.30769231
surfna,SurfNA,All128,pool1,128,128,63,49.21875,76,59.375,84,65.625,89,69.53125,94,73.4375
surfna,SurfNA,Yan,pool2,72,72,35,48.61111111,43,59.72222222,46,63.88888889,47,65.27777778,51,70.83333333
surfna,SurfNA,Philips,pool2,39,39,18,46.15384615,21,53.84615385,23,58.97435897,24,61.53846154,28,71.79487179
surfna,SurfNA,Chen,pool2,52,52,26,50,33,63.46153846,35,67.30769231,38,73.07692308,41,78.84615385
surfna,SurfNA,Ruiz,pool2,52,52,24,46.15384615,31,59.61538462,33,63.46153846,33,63.46153846,36,69.23076923
surfna,SurfNA,All128,pool2,128,128,59,46.09375,78,60.9375,82,64.0625,86,67.1875,95,74.21875
