contrast,epoch_or_aulc,metric,positive_direction,point_estimate,ci95_low,ci95_high,probability_benefit_gt0,bootstrap_repetitions,bootstrap_seed
Transfer-NonSurface-Scratch-Full8,150,best_of_k10_rmsd,transfer better than paired scratch,14.570702441378186,0.3627015956059636,56.475093474357344,1.0,20000,1337718547973107011
Transfer-NonSurface-Scratch-Full8,175,pose_density_rmsd_lt2,transfer better than paired scratch,0.13295880149812733,0.09925093632958802,0.16779026217228465,1.0,20000,14139798971988762093
Transfer-NonSurface-Scratch-Full8,175,best_of_k10_coverage_rmsd_lt2,transfer better than paired scratch,0.24719101123595505,0.16853932584269662,0.3258426966292135,1.0,20000,4751253900743981843
Transfer-NonSurface-Scratch-Full8,175,best_of_k10_rmsd,transfer better than paired scratch,393377917228.66266,0.30923591874141226,1573352204423.817,1.0,20000,16633369160196318861
Transfer-NonSurface-Scratch-Full8,200,pose_density_rmsd_lt2,transfer better than paired scratch,0.1438202247191011,0.11610486891385768,0.17303370786516856,1.0,20000,8709697900024149878
Transfer-NonSurface-Scratch-Full8,200,best_of_k10_coverage_rmsd_lt2,transfer better than paired scratch,0.20599250936329588,0.14606741573033707,0.26591760299625467,1.0,20000,6044751178443220122
Transfer-NonSurface-Scratch-Full8,200,best_of_k10_rmsd,transfer better than paired scratch,13.112588562024468,0.3723215037217297,45.55105066392548,1.0,20000,12968355498056962166
Transfer-NonSurface-Scratch-Full8,AULC25-200,pose_density_rmsd_lt2,transfer better than paired scratch,0.11728196896736223,0.09986623863028359,0.13533975387907973,1.0,20000,756898591924399774
Transfer-NonSurface-Scratch-Full8,AULC25-200,best_of_k10_coverage_rmsd_lt2,transfer better than paired scratch,0.25227394328517927,0.21508828250401288,0.2894596040663456,1.0,20000,3835494257155642115
Transfer-NonSurface-Scratch-Full8,AULC25-200,best_of_k10_rmsd,transfer better than paired scratch,56197711504.68275,3.4195653892004194,223944803494.6599,1.0,20000,8016401915607673487
