subset	complexes	fraction_pct	method	replicates	replicate_type	pose_density_lt2_pct_mean	pose_density_lt2_pct_sample_sd	coverage_k10_lt2_pct_mean	coverage_k10_lt2_pct_sample_sd	median_best_rmsd_A_mean	median_best_rmsd_A_sample_sd	valid_fraction_pct_mean	valid_fraction_pct_sample_sd
Chen52	52		PLANTS	3	docking_repeat	9.230769230769232	0.0	39.743589743589745	2.2205779584216336	3.209352603333333	0.2447409370271245	94.23076923076923	0.0
Chen52	52		AutoDock-GPU	3	docking_repeat	13.269230769230772	0.33308669376324446	34.61538461538462	3.3308669376324587	3.149112291666667	0.27805843013750114	98.07692307692305	1.7404671430534633e-14
Philips39	39	10	Transfer-All	3	training_seed	13.333333333333334	0.5128205128205137	45.2991452991453	1.4803853056144238	2.256656918750418	0.033275759275679696	100.0	0.0
Philips39	39	10	Transfer-NonSurface	3	training_seed	2.9059829059829063	0.5337605126836237	16.23931623931624	5.3376051268362374	3.4064523261312964	0.09713211463677987	100.0	0.0
Philips39	39	25	Transfer-All	3	training_seed	14.273504273504273	1.1562178853392029	45.2991452991453	3.9167313632101206	2.2817857692476085	0.011329965385150971	100.0	0.0
Philips39	39	25	Transfer-NonSurface	3	training_seed	5.811965811965813	0.39167313632101186	24.786324786324787	2.96077061122885	2.7016902089652644	0.08830386898563965	100.0	0.0
Philips39	39	50	Transfer-All	3	training_seed	16.495726495726498	0.7401926528072129	52.136752136752136	2.9607706112288517	1.9778919871643341	0.09872891981407692	100.0	0.0
Philips39	39	50	Transfer-NonSurface	3	training_seed	9.316239316239315	0.8242436547857225	35.8974358974359	0.0	2.374733680437016	0.06432741057061356	100.0	0.0
Philips39	39	100	Transfer-All	3	training_seed	16.837606837606835	0.5337605126836239	54.7008547008547	1.4803853056144238	1.8771982643977057	0.012560280921031699	100.0	0.0
Philips39	39	100	Transfer-NonSurface	3	training_seed	12.307692307692307	0.44411559168432796	42.73504273504273	1.4803853056144278	2.2769320853303157	0.11557886765001936	100.0	0.0
Philips39	39		Vina	3	docking_repeat	4.529914529914531	1.0675210253672476	22.222222222222218	6.452849944675854	4.005595796666667	0.16206257758979556	75.21367521367522	1.480385305614428
Philips39	39		rDock	3	docking_repeat	12.82051282051282	1.6012815380508714	24.786324786324784	1.4803853056144238	3.2651850966666665	0.019836421279989833	100.0	0.0
Philips39	39		LeDock	3	docking_repeat	18.37606837606838	2.4370217828005574	36.75213675213675	3.9167313632101193	2.419221616666667	0.14138041352981845	97.6923076923077	0.2564102564102555
Philips39	39		PLANTS	3	docking_repeat	5.982905982905983	0.5921541222457699	25.64102564102564	2.564102564102564	3.8356254133333336	0.09124400305847617	84.61538461538461	0.0
Philips39	39		AutoDock-GPU	3	docking_repeat	8.034188034188034	0.8242436547857226	20.512820512820515	2.564102564102564	3.735993863333333	0.2988585827258386	87.17948717948718	0.0
