subset	fraction_pct	left	right	metric	difference_left_minus_right	ci95_low	ci95_high	unit	bootstrap_draws	resampling	ci_status	finite_bootstrap_draws
All128	25	Transfer-All	AutoDock-GPU	median_best_rmsd_A	-0.8784176132509214	-1.4327637673655709	-0.475864427590161	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	AutoDock-GPU	valid_fraction_pct	4.6875	1.5625	8.59375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	Vina	pose_density_lt2_pct	1.5625	-0.703125	3.75	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	Vina	coverage_k10_lt2_pct	-3.3854166666666643	-12.239583333333332	5.208333333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	Vina	median_best_rmsd_A	-0.6260178241297094	-1.3034635589781303	0.17354705577797638	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	Vina	valid_fraction_pct	17.1875	10.9375	23.69791666666667	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	rDock	pose_density_lt2_pct	-17.1875	-23.307291666666668	-11.458333333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	rDock	coverage_k10_lt2_pct	-4.6875	-13.541666666666664	3.9062499999999964	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	rDock	median_best_rmsd_A	-0.28296957079637597	-0.7152880180766059	0.2301828480759733	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	rDock	valid_fraction_pct	0.78125	0.0	2.34375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
