benchmark_set	population	method	top_n	n_complexes	success_count	success_rate	success_pct	complex_failure_count	invalid_pose_count	ranking_policy
All128	rankable_lt2	AutoDock-Vina-1.2.7	9	92	82	0.8913043478260869	89.1304347826087	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	10	92	83	0.9021739130434783	90.21739130434783	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	1	92	51	0.5543478260869565	55.43478260869565	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	2	92	66	0.717391304347826	71.73913043478261	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	3	92	68	0.7391304347826086	73.91304347826087	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	4	92	72	0.782608695652174	78.26086956521739	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	5	92	74	0.8043478260869565	80.43478260869566	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	6	92	76	0.8260869565217391	82.6086956521739	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	7	92	80	0.8695652173913043	86.95652173913044	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	8	92	81	0.8804347826086957	88.04347826086956	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	9	92	82	0.8913043478260869	89.1304347826087	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	rDock-26.05-alpha	10	92	84	0.9130434782608695	91.30434782608695	1	40	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	1	92	53	0.5760869565217391	57.608695652173914	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	2	92	60	0.6521739130434783	65.21739130434783	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	3	92	67	0.7282608695652174	72.82608695652173	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	4	92	72	0.782608695652174	78.26086956521739	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	5	92	73	0.7934782608695652	79.34782608695652	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	6	92	75	0.8152173913043478	81.52173913043478	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	7	92	77	0.8369565217391305	83.69565217391305	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	8	92	77	0.8369565217391305	83.69565217391305	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	9	92	78	0.8478260869565217	84.78260869565217	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	10	92	78	0.8478260869565217	84.78260869565217	8	320	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	1	72	42	0.5833333333333334	58.333333333333336	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	2	72	45	0.625	62.5	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	3	72	46	0.6388888888888888	63.888888888888886	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	4	72	46	0.6388888888888888	63.888888888888886	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	5	72	46	0.6388888888888888	63.888888888888886	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	6	72	46	0.6388888888888888	63.888888888888886	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	7	72	47	0.6527777777777778	65.27777777777777	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	8	72	47	0.6527777777777778	65.27777777777777	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	9	72	48	0.6666666666666666	66.66666666666667	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	SurfNA-scorer0	10	72	50	0.6944444444444444	69.44444444444444	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	1	72	29	0.4027777777777778	40.27777777777778	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	2	72	37	0.5138888888888888	51.388888888888886	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	3	72	41	0.5694444444444444	56.94444444444444	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	4	72	43	0.5972222222222222	59.72222222222222	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	5	72	45	0.625	62.5	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	6	72	47	0.6527777777777778	65.27777777777777	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	7	72	47	0.6527777777777778	65.27777777777777	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	8	72	47	0.6527777777777778	65.27777777777777	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
