benchmark_set	population	metric	top_n	n_complexes	total_pose_slots	near_native_pose_count	mean_near_native_poses_per_complex	rankable_complex_count	permutations	permutation_seed	estimate	estimate_pct	mean_success_count	randomization_p025	randomization_p975	analytic_expectation	mc_minus_analytic
All128	rankable_lt2	topn_success_rate	10	92	3680	969	10.532608695652174	92	10000	20260906	0.8212684782608696	82.12684782608696	75.5567	0.7608695652173914	0.8804347826086957	0.8214155667535568	-0.00014708849268718627
All128	rankable_lt2	mrr_first_lt2		92	3680	969	10.532608695652174	92	10000	20260906	0.44015653950446293			0.38070576149182145	0.5007209078221643	0.4402449190101912	-8.837950572826436e-05
All128	rankable_lt2	ndcg_at_10		92	3680	969	10.532608695652174	92	10000	20260906	0.49438212519788904			0.4710779364388728	0.5176576222735471	0.4944759102610793	-9.378506319024371e-05
Yan72	full	topn_success_rate	1	72	2880	586	8.13888888888889	54	10000	20260906	0.20369305555555556	20.369305555555556	14.6659	0.125	0.2777777777777778	0.20347222222222222	0.00022083333333333677
Yan72	full	topn_success_rate	2	72	2880	586	8.13888888888889	54	10000	20260906	0.3244388888888889	32.443888888888885	23.3596	0.2361111111111111	0.4027777777777778	0.324002849002849	0.0004360398860399073
Yan72	full	topn_success_rate	3	72	2880	586	8.13888888888889	54	10000	20260906	0.40316805555555557	40.316805555555554	29.028100000000002	0.3194444444444444	0.4861111111111111	0.40318544759334235	-1.739203778677867e-05
Yan72	full	topn_success_rate	4	72	2880	586	8.13888888888889	54	10000	20260906	0.4592333333333333	45.92333333333333	33.0648	0.375	0.5416666666666666	0.45925368688526585	-2.035355193252819e-05
Yan72	full	topn_success_rate	5	72	2880	586	8.13888888888889	54	10000	20260906	0.5012486111111112	50.124861111111116	36.08990000000001	0.4305555555555556	0.5694444444444444	0.5011034778030392	0.00014513330807197633
Yan72	full	topn_success_rate	6	72	2880	586	8.13888888888889	54	10000	20260906	0.5335833333333333	53.35833333333333	38.418	0.4583333333333333	0.5972222222222222	0.5335573680968417	2.5965236491565236e-05
Yan72	full	topn_success_rate	7	72	2880	586	8.13888888888889	54	10000	20260906	0.5594652777777778	55.946527777777774	40.2815	0.4861111111111111	0.625	0.5594712642506761	-5.986472898289463e-06
Yan72	full	topn_success_rate	8	72	2880	586	8.13888888888889	54	10000	20260906	0.5808569444444445	58.08569444444445	41.8217	0.5138888888888888	0.6388888888888888	0.5806544302932332	0.00020251415121130822
Yan72	full	topn_success_rate	9	72	2880	586	8.13888888888889	54	10000	20260906	0.5983430555555556	59.83430555555556	43.0807	0.5277777777777778	0.6527777777777778	0.5983119472622181	3.110829333741183e-05
Yan72	full	topn_success_rate	10	72	2880	586	8.13888888888889	54	10000	20260906	0.6130166666666667	61.30166666666666	44.1372	0.5555555555555556	0.6666666666666666	0.6132775488901587	-0.000260882223492076
Yan72	full	mrr_first_lt2		72	2880	586	8.13888888888889	54	10000	20260906	0.335675961677848			0.2780842454380009	0.3957256763566188	0.33548783527915343	0.00018812639869458803
Yan72	full	ndcg_at_10		72	2880	586	8.13888888888889	54	10000	20260906	0.5146885948798153			0.48871356383039305	0.5416371254208635	0.5148180360715506	-0.00012944119173530222
Yan72	rankable_lt2	topn_success_rate	1	54	2160	586	10.851851851851851	54	10000	20260906	0.27159074074074074	27.159074074074073	14.6659	0.16666666666666666	0.37037037037037035	0.2712962962962963	0.0002944444444444305
Yan72	rankable_lt2	topn_success_rate	2	54	2160	586	10.851851851851851	54	10000	20260906	0.43258518518518524	43.25851851851852	23.359600000000004	0.3148148148148148	0.5370370370370371	0.4320037986704653	0.0005813865147199504
Yan72	rankable_lt2	topn_success_rate	3	54	2160	586	10.851851851851851	54	10000	20260906	0.5375574074074074	53.75574074074074	29.028100000000002	0.42592592592592593	0.6481481481481481	0.5375805967911231	-2.3189383715704892e-05
Yan72	rankable_lt2	topn_success_rate	4	54	2160	586	10.851851851851851	54	10000	20260906	0.6123111111111111	61.23111111111111	33.0648	0.5	0.7222222222222222	0.6123382491803545	-2.713806924337092e-05
Yan72	rankable_lt2	topn_success_rate	5	54	2160	586	10.851851851851851	54	10000	20260906	0.6683314814814815	66.83314814814814	36.0899	0.5740740740740741	0.7592592592592593	0.6681379704040523	0.00019351107742915374
Yan72	rankable_lt2	topn_success_rate	6	54	2160	586	10.851851851851851	54	10000	20260906	0.7114444444444444	71.14444444444445	38.418	0.6111111111111112	0.7962962962962963	0.7114098241291223	3.462031532208698e-05
Yan72	rankable_lt2	topn_success_rate	7	54	2160	586	10.851851851851851	54	10000	20260906	0.7459537037037037	74.59537037037038	40.2815	0.6481481481481481	0.8333333333333334	0.745961685667568	-7.981963864311936e-06
Yan72	rankable_lt2	topn_success_rate	8	54	2160	586	10.851851851851851	54	10000	20260906	0.774475925925926	77.4475925925926	41.8217	0.6851851851851852	0.8518518518518519	0.7742059070576442	0.0002700188682817073
Yan72	rankable_lt2	topn_success_rate	9	54	2160	586	10.851851851851851	54	10000	20260906	0.7977907407407407	79.77907407407407	43.0807	0.7037037037037037	0.8703703703703703	0.7977492630162908	4.1477724449956455e-05
Yan72	rankable_lt2	topn_success_rate	10	54	2160	586	10.851851851851851	54	10000	20260906	0.8173555555555556	81.73555555555556	44.1372	0.7407407407407407	0.8888888888888888	0.8177033985202117	-0.00034784296465606435
Yan72	rankable_lt2	mrr_first_lt2		54	2160	586	10.851851851851851	54	10000	20260906	0.4475679489037973			0.37077899391733454	0.5276342351421585	0.4473171137055379	0.0002508351982594137
Yan72	rankable_lt2	ndcg_at_10		54	2160	586	10.851851851851851	54	10000	20260906	0.5150878504155632			0.48563192838668723	0.545318323414749	0.5152104693666405	-0.00012261895107734677
Ruiz52	full	topn_success_rate	1	52	2080	298	5.730769230769231	32	10000	20260906	0.14213653846153845	14.213653846153845	7.3911	0.07692307692307693	0.23076923076923078	0.14326923076923076	-0.0011326923076923068
Ruiz52	full	topn_success_rate	2	52	2080	298	5.730769230769231	32	10000	20260906	0.2263769230769231	22.63769230769231	11.771600000000001	0.15384615384615385	0.3076923076923077	0.2272682445759369	-0.000891321499013803
Ruiz52	full	topn_success_rate	3	52	2080	298	5.730769230769231	32	10000	20260906	0.2846403846153846	28.46403846153846	14.8013	0.19230769230769232	0.36538461538461536	0.28496963562753036	-0.00032925101214575925
Ruiz52	full	topn_success_rate	4	52	2080	298	5.730769230769231	32	10000	20260906	0.3285	32.85	17.082	0.25	0.4230769230769231	0.328716321428872	-0.00021632142887201278
