benchmark_set	population	method	n_complexes	poses_per_complex	n_pose_slots	top1_success_count	top1_success_pct	top1_ci95_low_pct	top1_ci95_high_pct	top3_success_count	top3_success_pct	top3_ci95_low_pct	top3_ci95_high_pct	top5_success_count	top5_success_pct	top5_ci95_low_pct	top5_ci95_high_pct	mrr	mrr_ci95_low	mrr_ci95_high	mrr_n_contributing	ndcg_at_10	ndcg_at_10_ci95_low	ndcg_at_10_ci95_high	ndcg_at_10_n_contributing	mean_regret_A_scored	mean_regret_A_scored_ci95_low	mean_regret_A_scored_ci95_high	mean_regret_A_scored_n_contributing	complex_failure_count	complex_failure_pct	complex_failure_ci95_low_pct	complex_failure_ci95_high_pct	pose_score_failure_count	pose_score_valid_count	pose_score_failure_pct	pose_score_failure_ci95_low_pct	pose_score_failure_ci95_high_pct	ci_method
Yan72	full	rDock-26.05-alpha	72	40	2880	34	47.22222222222222	36.11111111111111	58.333333333333336	43	59.72222222222222	48.61111111111111	70.83333333333334	45	62.5	51.388888888888886	73.61111111111111	0.5529632878639309	0.44975516446124447	0.6551624169132011	72	0.7051535262545454	0.6390038145288853	0.7689813830455603	72	2.0123737706411053	1.3175686664268815	2.781340375063056	72	0	0.0	0.0	0.0	0	2880	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Yan72	full	PLANTS-CHEMPLP-1.2	72	40	2880	34	47.22222222222222	36.11111111111111	58.333333333333336	39	54.166666666666664	43.05555555555556	65.27777777777779	43	59.72222222222222	48.61111111111111	70.83333333333334	0.5206519039239628	0.4130680455052391	0.6280533509700177	72	0.6685096999769127	0.5939027020485462	0.7395371711209752	72	1.37237272487105	0.861668780092371	1.9478129400607695	67	5	6.944444444444445	1.3888888888888888	13.88888888888889	200	2680	6.944444444444445	1.3888888888888888	13.88888888888889	accepted_shared_complex_bootstrap_percentile_10000
Yan72	rankable_lt2	SurfNA-scorer0	54	40	2160	42	77.77777777777779	66.66666666666666	88.88888888888889	46	85.18518518518519	75.92592592592592	94.44444444444444	46	85.18518518518519	75.92592592592592	94.44444444444444	0.8247562708210856	0.7297410530570253	0.9113162294238683	54	0.8164018471036941	0.7641678065867046	0.865182084072647	54	0.6033951404429133	0.3254485691264663	0.9350989536241613	54	0	0.0	0.0	0.0	0	2160	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	54	40	2160	29	53.70370370370371	40.74074074074074	66.66666666666666	41	75.92592592592592	64.81481481481481	87.03703703703704	45	83.33333333333334	72.22222222222221	92.5925925925926	0.6655858145727427	0.5639482873396271	0.7651239711934156	54	0.6948485198516631	0.6257949349325276	0.7605647931832182	54	1.9564903041541386	1.1590891723358134	2.8708527450710943	53	1	1.8518518518518516	0.0	5.555555555555555	53	2107	2.4537037037037037	0.32407407407407407	6.342592592592593	accepted_shared_complex_bootstrap_percentile_10000
Yan72	rankable_lt2	rDock-26.05-alpha	54	40	2160	34	62.96296296296296	50.0	75.92592592592592	43	79.62962962962963	68.51851851851852	90.74074074074075	45	83.33333333333334	72.22222222222221	92.5925925925926	0.7372843838185745	0.63875602265996	0.8325138110799875	54	0.7394910963267074	0.6699869036221071	0.8055830562109398	54	1.9702769226031949	1.1214958792162864	2.926318025074031	54	0	0.0	0.0	0.0	0	2160	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	54	40	2160	34	62.96296296296296	50.0	75.92592592592592	39	72.22222222222221	59.25925925925925	83.33333333333334	43	79.62962962962963	68.51851851851852	88.88888888888889	0.6942025385652836	0.5841192738966431	0.8003692680776016	54	0.6923616369527207	0.6063944199677613	0.7725502514828446	54	1.2738025420977637	0.6605664382267236	1.9693979120836018	50	4	7.4074074074074066	1.8518518518518516	14.814814814814813	160	2000	7.4074074074074066	1.8518518518518516	14.814814814814813	accepted_shared_complex_bootstrap_percentile_10000
Ruiz52	full	SurfNA-scorer0	52	40	2080	22	42.30769230769231	28.846153846153843	55.769230769230774	27	51.92307692307693	38.46153846153847	65.38461538461539	27	51.92307692307693	38.46153846153847	65.38461538461539	0.4745691630307015	0.34831090739744586	0.607065688940689	52	0.6919770656612271	0.6230624603135168	0.7550801825373032	52	1.3693470555555598	0.8631483358317092	1.955877922916741	52	0	0.0	0.0	0.0	0	2080	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Ruiz52	full	AutoDock-Vina-1.2.7	52	40	2080	14	26.923076923076923	15.384615384615385	40.38461538461539	21	40.38461538461539	26.923076923076923	53.84615384615385	24	46.15384615384615	32.69230769230769	59.61538461538461	0.35528762903762906	0.2473564352314352	0.47192683358308357	52	0.561401304020518	0.48163290164780614	0.6409071306456983	52	2.1489027128113887	1.5255867170461777	2.8007335443659045	51	1	1.9230769230769231	0.0	5.769230769230769	44	2036	2.1153846153846154	0.0	6.105769230769232	accepted_shared_complex_bootstrap_percentile_10000
Ruiz52	full	rDock-26.05-alpha	52	40	2080	12	23.076923076923077	11.538461538461538	34.61538461538461	18	34.61538461538461	21.153846153846153	48.07692307692308	23	44.230769230769226	30.76923076923077	57.692307692307686	0.3255275742775743	0.22085533679283678	0.43791573819698826	52	0.557089711659202	0.4754278899615945	0.6382269556259553	52	2.5530188070158037	1.8359869100631345	3.2988032134330285	52	0	0.0	0.0	0.0	0	2080	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Ruiz52	full	PLANTS-CHEMPLP-1.2	52	40	2080	17	32.69230769230769	21.153846153846153	46.15384615384615	25	48.07692307692308	34.61538461538461	61.53846153846154	27	51.92307692307693	38.46153846153847	65.38461538461539	0.41374389499389497	0.2988782051282052	0.5352571733821735	52	0.5808749548619572	0.5033520799513637	0.6533225378542732	52	1.9605219125074889	1.3329303871929015	2.6606989542580504	50	2	3.8461538461538463	0.0	9.615384615384617	80	2000	3.8461538461538463	0.0	9.615384615384617	accepted_shared_complex_bootstrap_percentile_10000
